Date,count,location,rate
4/9/2020,26,LITTLE BANGLADESH,91.73
4/9/2020,10,PLAYA VISTA,91.35
4/9/2020,37,PICO-UNION,88.43
4/9/2020,5,ELYSIAN PARK,87.54
4/9/2020,15,VERMONT KNOLLS,87.21
4/9/2020,12,CRENSHAW DISTRICT,86.77
4/9/2020,12,HISTORIC FILIPINOTOWN,86.52
4/9/2020,29,VENICE,85.58
4/9/2020,23,DOWNTOWN,83.62
4/9/2020,26,BALDWIN HILLS,83.53
4/9/2020,32,CENTRAL,82.07
4/9/2020,8,THAI TOWN,81.56
4/9/2020,53,CANOGA PARK,81.18
4/9/2020,30,CHATSWORTH,80.95
4/9/2020,55,WOODLAND HILLS,80.82
4/9/2020,36,EXPOSITION PARK,80.15
4/9/2020,22,UNIVERSITY PARK,80.13
4/9/2020,23,EAST HOLLYWOOD,78.53
4/9/2020,36,FLORENCE-FIRESTONE,75.88
4/9/2020,39,KOREATOWN,75.45
4/9/2020,39,WINNETKA,75.31
4/9/2020,64,SHERMAN OAKS,73.35
4/9/2020,29,EAGLE ROCK,73.25
4/9/2020,31,MAR VISTA,72.99
4/9/2020,21,HARBOR CITY,72.24
4/9/2020,27,SOUTH PARK,71.13
4/9/2020,30,LAKE BALBOA,71.08
4/9/2020,53,RESEDA,69.18
4/9/2020,6,TOLUCA LAKE,68.93
4/9/2020,6,FIGUEROA PARK SQUARE,68.8
4/9/2020,40,GRANADA HILLS,68.74
4/9/2020,10,CLOVERDALE/COCHRAN,68.71
4/9/2020,103,NORTH HOLLYWOOD,68.02
4/9/2020,51,PANORAMA CITY,67.77
4/9/2020,24,PORTER RANCH,67.44
4/9/2020,40,WESTLAKE,67.39
4/9/2020,12,HARVARD HEIGHTS,66.54
4/9/2020,9,PARK LA BREA,66.27
4/9/2020,33,WILSHIRE CENTER,65.78
4/9/2020,61,VAN NUYS,65.45
4/9/2020,7,GRAMERCY PLACE,65.03
4/9/2020,9,ECHO PARK,63.13
4/9/2020,21,CENTURY PALMS/COVE,62.19
4/9/2020,9,ATWATER VILLAGE,61.37
4/9/2020,26,HARBOR GATEWAY,59.63
4/9/2020,6,ELYSIAN VALLEY,58.99
4/9/2020,20,ARLETA,58.19
4/9/2020,22,HARVARD PARK,57.99
4/9/2020,30,VERNON CENTRAL,57.69
4/9/2020,24,EL SERENO,57.41
4/9/2020,44,PACOIMA,57.16
4/9/2020,30,WESTWOOD,55.44
4/9/2020,28,WESTCHESTER,54.26
4/9/2020,47,BOYLE HEIGHTS,54.1
4/9/2020,13,MISSION HILLS,53.89
4/9/2020,33,NORTH HILLS,53.59
4/9/2020,15,HYDE PARK,52.56
4/9/2020,21,WEST HILLS,51.79
4/9/2020,11,GREEN MEADOWS,51.15
4/9/2020,24,HIGHLAND PARK,49.6
4/9/2020,26,SUN VALLEY,49.54
4/9/2020,20,WATTS,46.87
4/9/2020,13,TUJUNGA,46.75
4/9/2020,36,SAN PEDRO,46.13
4/9/2020,11,MT. WASHINGTON,45.56
4/9/2020,16,WHOLESALE DISTRICT,44.29
4/9/2020,18,VERMONT VISTA,43.7
4/9/2020,30,NORTHRIDGE,42.98
4/9/2020,14,LINCOLN HEIGHTS,42.95
4/9/2020,5,ALSACE,40.18
4/9/2020,22,WILMINGTON,38.95
4/9/2020,0,EXPOSITION,0
4/9/2020,0,SYCAMORE SQUARE,0
4/9/2020,0,HARBOR PINES,0
4/9/2020,0,UNIVERSITY HILLS,0
4/9/2020,0,WELLINGTON SQUARE,0
4/9/2020,0,BROOKSIDE,0
4/9/2020,0,TOLUCA TERRACE,0
4/9/2020,0,ANGELINO HEIGHTS,0
4/10/2020,25,LITTLE ARMENIA,311.53
4/10/2020,33,CRESTVIEW,290.29
4/10/2020,45,HANCOCK PARK,264.1
4/10/2020,21,BEL AIR,249.14
4/10/2020,184,MELROSE,236.82
4/10/2020,26,BEVERLY CREST,207.58
4/10/2020,20,SOUTH CARTHAY,188.77
4/10/2020,27,CARTHAY,187.98
4/10/2020,8,MARINA PENINSULA,183.49
4/10/2020,15,ADAMS-NORMANDIE,182.88
4/10/2020,23,CENTURY CITY,179.8
4/10/2020,15,VICTORIA PARK,178.59
4/10/2020,53,BRENTWOOD,171.22
4/10/2020,13,VERMONT SQUARE,169.78
4/10/2020,109,HOLLYWOOD,159.7
4/10/2020,70,SILVERLAKE,158.79
4/10/2020,7,SHADOW HILLS,157.59
4/10/2020,49,GLASSELL PARK,155.04
4/10/2020,45,HOLLYWOOD HILLS,152.88
4/10/2020,23,LEIMERT PARK,150.97
4/10/2020,22,MID-CITY,146.37
4/10/2020,31,PACIFIC PALISADES,145.6
4/10/2020,19,BEVERLYWOOD,144.23
4/10/2020,9,RANCHO PARK,137.2
4/10/2020,42,TARZANA,136.03
4/10/2020,33,VALLEY VILLAGE,133.5
4/10/2020,6,LAFAYETTE SQUARE,131.61
4/10/2020,18,HISTORIC FILIPINOTOWN,129.78
4/10/2020,6,RESEDA RANCH,129.42
4/10/2020,11,CHEVIOT HILLS,119.94
4/10/2020,18,COUNTRY CLUB PARK,118.79
4/10/2020,5,REYNIER VILLAGE,118.26
4/10/2020,24,SUNLAND,117.6
4/10/2020,51,PALMS,116.23
4/10/2020,32,WEST ADAMS,115.82
4/10/2020,15,LAKEVIEW TERRACE,114.22
4/10/2020,89,SYLMAR,108.01
4/10/2020,31,DEL REY,103.55
4/10/2020,10,THAI TOWN,101.95
4/10/2020,42,PICO-UNION,100.38
4/10/2020,18,MIRACLE MILE,100.08
4/10/2020,30,VALLEY GLEN,99.95
4/10/2020,45,ENCINO,99.62
4/10/2020,29,EAST HOLLYWOOD,99.02
4/10/2020,53,WEST VERNON,98.8
4/10/2020,28,LITTLE BANGLADESH,98.79
4/10/2020,22,STUDIO CITY,98.04
4/10/2020,13,CRENSHAW DISTRICT,94.01
4/10/2020,37,TEMPLE-BEAUDRY,93.71
4/10/2020,20,LOS FELIZ,92.56
4/10/2020,31,VENICE,91.49
4/10/2020,10,PLAYA VISTA,91.35
4/10/2020,59,CANOGA PARK,90.37
4/10/2020,34,WEST LOS ANGELES,90.34
4/10/2020,35,CENTRAL,89.76
4/10/2020,34,SOUTH PARK,89.57
4/10/2020,40,EXPOSITION PARK,89.05
4/10/2020,33,CHATSWORTH,89.04
4/10/2020,60,WOODLAND HILLS,88.16
4/10/2020,5,ELYSIAN PARK,87.54
4/10/2020,24,UNIVERSITY PARK,87.41
4/10/2020,24,DOWNTOWN,87.25
4/10/2020,15,VERMONT KNOLLS,87.21
4/10/2020,27,BALDWIN HILLS,86.75
4/10/2020,33,EAGLE ROCK,83.36
4/10/2020,43,KOREATOWN,83.18
4/10/2020,15,HARVARD HEIGHTS,83.17
4/10/2020,39,FLORENCE-FIRESTONE,82.2
4/10/2020,7,FIGUEROA PARK SQUARE,80.27
4/10/2020,41,WINNETKA,79.17
4/10/2020,69,SHERMAN OAKS,79.08
4/10/2020,8,ELYSIAN VALLEY,78.65
4/10/2020,38,WILSHIRE CENTER,75.74
4/10/2020,22,HARBOR CITY,75.68
4/10/2020,32,MAR VISTA,75.35
4/10/2020,57,RESEDA,74.4
4/10/2020,8,GRAMERCY PLACE,74.32
4/10/2020,44,WESTLAKE,74.13
4/10/2020,31,LAKE BALBOA,73.45
4/10/2020,26,PORTER RANCH,73.06
4/10/2020,68,VAN NUYS,72.97
4/10/2020,108,NORTH HOLLYWOOD,71.32
4/10/2020,41,GRANADA HILLS,70.46
4/10/2020,53,PANORAMA CITY,70.43
4/10/2020,6,TOLUCA LAKE,68.93
4/10/2020,10,CLOVERDALE/COCHRAN,68.71
4/10/2020,23,CENTURY PALMS/COVE,68.12
4/10/2020,28,EL SERENO,66.97
4/10/2020,29,HARBOR GATEWAY,66.51
4/10/2020,9,PARK LA BREA,66.27
4/10/2020,22,ARLETA,64.01
4/10/2020,9,ECHO PARK,63.13
4/10/2020,9,ATWATER VILLAGE,61.37
4/10/2020,33,WESTWOOD,60.99
4/10/2020,37,NORTH HILLS,60.09
4/10/2020,46,PACOIMA,59.76
4/10/2020,31,VERNON CENTRAL,59.62
4/10/2020,30,WESTCHESTER,58.14
4/10/2020,14,MISSION HILLS,58.03
4/10/2020,22,HARVARD PARK,57.99
4/10/2020,50,BOYLE HEIGHTS,57.55
4/10/2020,16,HYDE PARK,56.06
4/10/2020,12,GREEN MEADOWS,55.8
4/10/2020,27,HIGHLAND PARK,55.8
4/10/2020,15,TUJUNGA,53.94
4/10/2020,23,WATTS,53.9
4/10/2020,28,SUN VALLEY,53.35
4/10/2020,21,WEST HILLS,51.79
4/10/2020,12,MT. WASHINGTON,49.7
4/10/2020,20,VERMONT VISTA,48.56
4/10/2020,37,SAN PEDRO,47.41
4/10/2020,33,NORTHRIDGE,47.28
4/10/2020,16,WHOLESALE DISTRICT,44.29
4/10/2020,25,WILMINGTON,44.26
4/10/2020,14,LINCOLN HEIGHTS,42.95
4/10/2020,5,ALSACE,40.18
4/10/2020,0,EXPOSITION,0
4/10/2020,0,BROOKSIDE,0
4/10/2020,0,WELLINGTON SQUARE,0
4/10/2020,0,HARBOR PINES,0
4/10/2020,0,ANGELINO HEIGHTS,0
4/10/2020,0,UNIVERSITY HILLS,0
4/10/2020,0,TOLUCA TERRACE,0
4/10/2020,0,SYCAMORE SQUARE,0
4/11/2020,29,LITTLE ARMENIA,361.37
4/11/2020,35,CRESTVIEW,307.88
4/11/2020,45,HANCOCK PARK,264.1
4/11/2020,21,BEL AIR,249.14
4/11/2020,192,MELROSE,247.12
4/11/2020,26,BEVERLY CREST,207.58
4/11/2020,17,VICTORIA PARK,202.41
4/11/2020,28,CARTHAY,194.95
4/11/2020,20,SOUTH CARTHAY,188.77
4/11/2020,24,CENTURY CITY,187.62
4/11/2020,8,MARINA PENINSULA,183.49
4/11/2020,15,ADAMS-NORMANDIE,182.88
4/11/2020,14,VERMONT SQUARE,182.84
4/11/2020,53,BRENTWOOD,171.22
4/11/2020,52,GLASSELL PARK,164.54
4/11/2020,110,HOLLYWOOD,161.16
4/11/2020,71,SILVERLAKE,161.06
4/11/2020,7,SHADOW HILLS,157.59
4/11/2020,46,HOLLYWOOD HILLS,156.28
4/11/2020,23,MID-CITY,153.03
4/11/2020,7,RESEDA RANCH,150.99
4/11/2020,23,LEIMERT PARK,150.97
4/11/2020,30,SUNLAND,147
4/11/2020,31,PACIFIC PALISADES,145.6
4/11/2020,19,BEVERLYWOOD,144.23
4/11/2020,44,TARZANA,142.51
4/11/2020,62,PALMS,141.3
4/11/2020,21,COUNTRY CLUB PARK,138.59
4/11/2020,9,RANCHO PARK,137.2
4/11/2020,19,HISTORIC FILIPINOTOWN,136.99
4/11/2020,33,VALLEY VILLAGE,133.5
4/11/2020,6,LAFAYETTE SQUARE,131.61
4/11/2020,37,EAST HOLLYWOOD,126.34
4/11/2020,34,WEST ADAMS,123.05
4/11/2020,16,LAKEVIEW TERRACE,121.83
4/11/2020,48,TEMPLE-BEAUDRY,121.57
4/11/2020,11,CHEVIOT HILLS,119.94
4/11/2020,5,REYNIER VILLAGE,118.26
4/11/2020,47,PICO-UNION,112.33
4/11/2020,91,SYLMAR,110.44
4/11/2020,49,ENCINO,108.47
4/11/2020,19,MIRACLE MILE,105.64
4/11/2020,31,DEL REY,103.55
4/11/2020,31,VALLEY GLEN,103.28
4/11/2020,34,VENICE,100.34
4/11/2020,53,WEST VERNON,98.8
4/11/2020,28,LITTLE BANGLADESH,98.79
4/11/2020,22,STUDIO CITY,98.04
4/11/2020,21,LOS FELIZ,97.19
4/11/2020,63,CANOGA PARK,96.49
4/11/2020,43,EXPOSITION PARK,95.73
4/11/2020,36,SOUTH PARK,94.83
4/11/2020,35,CHATSWORTH,94.44
4/11/2020,13,CRENSHAW DISTRICT,94.01
4/11/2020,16,VERMONT KNOLLS,93.02
4/11/2020,36,CENTRAL,92.33
4/11/2020,9,THAI TOWN,91.75
4/11/2020,10,PLAYA VISTA,91.35
4/11/2020,62,WOODLAND HILLS,91.1
4/11/2020,47,KOREATOWN,90.92
4/11/2020,34,WEST LOS ANGELES,90.34
4/11/2020,28,BALDWIN HILLS,89.96
4/11/2020,16,HARVARD HEIGHTS,88.72
4/11/2020,42,FLORENCE-FIRESTONE,88.52
4/11/2020,5,ELYSIAN PARK,87.54
4/11/2020,24,UNIVERSITY PARK,87.41
4/11/2020,24,DOWNTOWN,87.25
4/11/2020,34,EAGLE ROCK,85.88
4/11/2020,35,EL SERENO,83.72
4/11/2020,43,WINNETKA,83.03
4/11/2020,72,SHERMAN OAKS,82.52
4/11/2020,62,RESEDA,80.92
4/11/2020,48,WESTLAKE,80.87
4/11/2020,7,TOLUCA LAKE,80.42
4/11/2020,7,FIGUEROA PARK SQUARE,80.27
4/11/2020,34,MAR VISTA,80.05
4/11/2020,40,WILSHIRE CENTER,79.73
4/11/2020,23,HARBOR CITY,79.12
4/11/2020,28,PORTER RANCH,78.68
4/11/2020,8,ELYSIAN VALLEY,78.65
4/11/2020,73,VAN NUYS,78.33
4/11/2020,58,PANORAMA CITY,77.08
4/11/2020,26,CENTURY PALMS/COVE,77
4/11/2020,11,CLOVERDALE/COCHRAN,75.59
4/11/2020,113,NORTH HOLLYWOOD,74.63
4/11/2020,8,GRAMERCY PLACE,74.32
4/11/2020,31,LAKE BALBOA,73.45
4/11/2020,42,GRANADA HILLS,72.18
4/11/2020,10,ECHO PARK,70.15
4/11/2020,30,HARBOR GATEWAY,68.81
4/11/2020,35,VERNON CENTRAL,67.31
4/11/2020,23,ARLETA,66.92
4/11/2020,16,MISSION HILLS,66.32
4/11/2020,9,PARK LA BREA,66.27
4/11/2020,14,GREEN MEADOWS,65.1
4/11/2020,49,PACOIMA,63.65
4/11/2020,39,NORTH HILLS,63.34
4/11/2020,24,HARVARD PARK,63.27
4/11/2020,53,BOYLE HEIGHTS,61
4/11/2020,33,WESTWOOD,60.99
4/11/2020,31,WESTCHESTER,60.07
4/11/2020,24,WATTS,56.24
4/11/2020,16,HYDE PARK,56.06
4/11/2020,27,HIGHLAND PARK,55.8
4/11/2020,8,ATWATER VILLAGE,54.55
4/11/2020,15,TUJUNGA,53.94
4/11/2020,28,SUN VALLEY,53.35
4/11/2020,37,NORTHRIDGE,53.01
4/11/2020,21,WEST HILLS,51.79
4/11/2020,21,VERMONT VISTA,50.99
4/11/2020,39,SAN PEDRO,49.98
4/11/2020,12,MT. WASHINGTON,49.7
4/11/2020,28,WILMINGTON,49.57
4/11/2020,17,WHOLESALE DISTRICT,47.05
4/11/2020,15,LINCOLN HEIGHTS,46.02
4/11/2020,5,ALSACE,40.18
4/11/2020,0,BROOKSIDE,0
4/11/2020,0,EXPOSITION,0
4/11/2020,0,HARBOR PINES,0
4/11/2020,0,TOLUCA TERRACE,0
4/11/2020,0,UNIVERSITY HILLS,0
4/11/2020,0,SYCAMORE SQUARE,0
4/13/2020,37,CHATSWORTH,99.84
4/13/2020,47,FLORENCE-FIRESTONE,99.06
4/13/2020,27,DOWNTOWN,98.16
4/13/2020,21,LOS FELIZ,97.19
4/13/2020,73,RESEDA,95.28
4/13/2020,49,KOREATOWN,94.79
4/13/2020,26,UNIVERSITY PARK,94.7
4/13/2020,49,WINNETKA,94.62
4/13/2020,47,WILSHIRE CENTER,93.68
4/13/2020,21,STUDIO CITY,93.58
4/13/2020,10,GRAMERCY PLACE,92.9
4/13/2020,86,VAN NUYS,92.28
4/13/2020,9,THAI TOWN,91.75
4/13/2020,80,SHERMAN OAKS,91.69
4/13/2020,69,PANORAMA CITY,91.69
4/13/2020,10,PLAYA VISTA,91.35
4/13/2020,36,EAGLE ROCK,90.93
4/13/2020,34,WEST LOS ANGELES,90.34
4/13/2020,30,CENTURY PALMS/COVE,88.85
4/13/2020,37,EL SERENO,88.5
4/13/2020,5,ELYSIAN PARK,87.54
4/13/2020,15,VERMONT KNOLLS,87.21
4/13/2020,21,MISSION HILLS,87.05
4/13/2020,6,CADILLAC-CORNING,84.26
4/13/2020,127,NORTH HOLLYWOOD,83.87
4/13/2020,24,HARBOR CITY,82.56
4/13/2020,12,CLOVERDALE/COCHRAN,82.46
4/13/2020,47,GRANADA HILLS,80.77
4/13/2020,34,LAKE BALBOA,80.56
4/13/2020,7,TOLUCA LAKE,80.42
4/13/2020,7,FIGUEROA PARK SQUARE,80.27
4/13/2020,34,MAR VISTA,80.05
4/13/2020,41,VERNON CENTRAL,78.85
4/13/2020,28,PORTER RANCH,78.68
4/13/2020,8,ELYSIAN VALLEY,78.65
4/13/2020,48,NORTH HILLS,77.95
4/13/2020,26,ARLETA,75.65
4/13/2020,57,PACOIMA,74.05
4/13/2020,32,HARBOR GATEWAY,73.39
4/13/2020,35,HIGHLAND PARK,72.33
4/13/2020,27,HARVARD PARK,71.17
4/13/2020,48,NORTHRIDGE,68.77
4/13/2020,29,WATTS,67.96
4/13/2020,58,BOYLE HEIGHTS,66.76
4/13/2020,9,PARK LA BREA,66.27
4/13/2020,27,VERMONT VISTA,65.56
4/13/2020,14,GREEN MEADOWS,65.1
4/13/2020,34,SUN VALLEY,64.78
4/13/2020,35,WESTWOOD,64.68
4/13/2020,50,SAN PEDRO,64.07
4/13/2020,9,ECHO PARK,63.13
4/13/2020,32,WESTCHESTER,62.01
4/13/2020,9,ATWATER VILLAGE,61.37
4/13/2020,33,WILMINGTON,58.42
4/13/2020,23,WEST HILLS,56.73
4/13/2020,16,HYDE PARK,56.06
4/13/2020,18,LINCOLN HEIGHTS,55.22
4/13/2020,15,TUJUNGA,53.94
4/13/2020,13,MT. WASHINGTON,53.84
4/13/2020,41,LITTLE ARMENIA,510.9
4/13/2020,18,WHOLESALE DISTRICT,49.82
4/13/2020,6,ALSACE,48.21
4/13/2020,43,CRESTVIEW,378.25
4/13/2020,47,HANCOCK PARK,275.84
4/13/2020,200,MELROSE,257.41
4/13/2020,21,BEL AIR,249.14
4/13/2020,27,CENTURY CITY,211.07
4/13/2020,16,VERMONT SQUARE,208.96
4/13/2020,30,CARTHAY,208.87
4/13/2020,26,BEVERLY CREST,207.58
4/13/2020,17,VICTORIA PARK,202.41
4/13/2020,9,RESEDA RANCH,194.13
4/13/2020,20,SOUTH CARTHAY,188.77
4/13/2020,8,MARINA PENINSULA,183.49
4/13/2020,15,ADAMS-NORMANDIE,182.88
4/13/2020,57,GLASSELL PARK,180.36
4/13/2020,78,SILVERLAKE,176.94
4/13/2020,54,BRENTWOOD,174.45
4/13/2020,117,HOLLYWOOD,171.42
4/13/2020,25,COUNTRY CLUB PARK,164.98
4/13/2020,25,LEIMERT PARK,164.1
4/13/2020,48,EAST HOLLYWOOD,163.9
4/13/2020,24,MID-CITY,159.68
4/13/2020,44,WEST ADAMS,159.25
4/13/2020,7,SHADOW HILLS,157.59
4/13/2020,69,PALMS,157.26
4/13/2020,32,SUNLAND,156.8
4/13/2020,46,HOLLYWOOD HILLS,156.28
4/13/2020,7,LAFAYETTE SQUARE,153.54
4/13/2020,20,BEVERLYWOOD,151.83
4/13/2020,32,PACIFIC PALISADES,150.3
4/13/2020,36,VALLEY VILLAGE,145.63
4/13/2020,44,TARZANA,142.51
4/13/2020,19,HISTORIC FILIPINOTOWN,136.99
4/13/2020,54,TEMPLE-BEAUDRY,136.77
4/13/2020,107,SYLMAR,129.86
4/13/2020,53,PICO-UNION,126.67
4/13/2020,17,CRENSHAW DISTRICT,122.93
4/13/2020,8,RANCHO PARK,121.95
4/13/2020,16,LAKEVIEW TERRACE,121.83
4/13/2020,65,WEST VERNON,121.17
4/13/2020,79,CANOGA PARK,121
4/13/2020,11,CHEVIOT HILLS,119.94
4/13/2020,5,REYNIER VILLAGE,118.26
4/13/2020,21,HARVARD HEIGHTS,116.44
4/13/2020,52,ENCINO,115.12
4/13/2020,32,LITTLE BANGLADESH,112.9
4/13/2020,20,MIRACLE MILE,111.2
4/13/2020,33,DEL REY,110.24
4/13/2020,49,EXPOSITION PARK,109.09
4/13/2020,41,SOUTH PARK,108.01
4/13/2020,64,WESTLAKE,107.83
4/13/2020,32,VALLEY GLEN,106.61
4/13/2020,33,BALDWIN HILLS,106.02
4/13/2020,41,CENTRAL,105.15
4/13/2020,35,VENICE,103.29
4/13/2020,69,WOODLAND HILLS,101.39
4/13/2020,0,EXPOSITION,0
4/13/2020,0,BROOKSIDE,0
4/13/2020,0,HARBOR PINES,0
4/13/2020,0,TOLUCA TERRACE,0
4/13/2020,0,SYCAMORE SQUARE,0
4/13/2020,0,UNIVERSITY HILLS,0
4/14/2020,37,CHATSWORTH,99.84
4/14/2020,75,PANORAMA CITY,99.67
4/14/2020,24,MISSION HILLS,99.49
4/14/2020,92,VAN NUYS,98.72
4/14/2020,27,UNIVERSITY PARK,98.34
4/14/2020,27,DOWNTOWN,98.16
4/14/2020,22,STUDIO CITY,98.04
4/14/2020,21,LOS FELIZ,97.19
4/14/2020,40,EL SERENO,95.68
4/14/2020,48,WILSHIRE CENTER,95.67
4/14/2020,10,GRAMERCY PLACE,92.9
4/14/2020,81,SHERMAN OAKS,92.83
4/14/2020,31,CENTURY PALMS/COVE,91.81
4/14/2020,9,THAI TOWN,91.75
4/14/2020,10,PLAYA VISTA,91.35
4/14/2020,138,NORTH HOLLYWOOD,91.14
4/14/2020,34,WEST LOS ANGELES,90.34
4/14/2020,38,LAKE BALBOA,90.03
4/14/2020,13,CLOVERDALE/COCHRAN,89.33
4/14/2020,9,ELYSIAN VALLEY,88.49
4/14/2020,5,ELYSIAN PARK,87.54
4/14/2020,31,PORTER RANCH,87.11
4/14/2020,44,VERNON CENTRAL,84.62
4/14/2020,29,ARLETA,84.38
4/14/2020,6,CADILLAC-CORNING,84.26
4/14/2020,49,GRANADA HILLS,84.21
4/14/2020,51,NORTH HILLS,82.83
4/14/2020,24,HARBOR CITY,82.56
4/14/2020,39,HIGHLAND PARK,80.59
4/14/2020,7,TOLUCA LAKE,80.42
4/14/2020,7,FIGUEROA PARK SQUARE,80.27
4/14/2020,34,MAR VISTA,80.05
4/14/2020,59,PACOIMA,76.64
4/14/2020,21,TUJUNGA,75.51
4/14/2020,16,GREEN MEADOWS,74.4
4/14/2020,39,SUN VALLEY,74.31
4/14/2020,28,HARVARD PARK,73.81
4/14/2020,64,BOYLE HEIGHTS,73.66
4/14/2020,38,WESTCHESTER,73.64
4/14/2020,32,HARBOR GATEWAY,73.39
4/14/2020,51,NORTHRIDGE,73.07
4/14/2020,29,WATTS,67.96
4/14/2020,9,PARK LA BREA,66.27
4/14/2020,27,VERMONT VISTA,65.56
4/14/2020,50,SAN PEDRO,64.07
4/14/2020,9,ECHO PARK,63.13
4/14/2020,34,WESTWOOD,62.84
4/14/2020,15,MT. WASHINGTON,62.12
4/14/2020,9,ATWATER VILLAGE,61.37
4/14/2020,22,WHOLESALE DISTRICT,60.89
4/14/2020,34,WILMINGTON,60.19
4/14/2020,17,HYDE PARK,59.56
4/14/2020,19,LINCOLN HEIGHTS,58.29
4/14/2020,23,WEST HILLS,56.73
4/14/2020,7,ALSACE,56.25
4/14/2020,44,LITTLE ARMENIA,548.29
4/14/2020,43,CRESTVIEW,378.25
4/14/2020,50,HANCOCK PARK,293.44
4/14/2020,210,MELROSE,270.28
4/14/2020,21,BEL AIR,249.14
4/14/2020,17,VERMONT SQUARE,222.02
4/14/2020,18,VICTORIA PARK,214.31
4/14/2020,27,CENTURY CITY,211.07
4/14/2020,30,CARTHAY,208.87
4/14/2020,26,BEVERLY CREST,207.58
4/14/2020,63,GLASSELL PARK,199.34
4/14/2020,16,ADAMS-NORMANDIE,195.07
4/14/2020,9,RESEDA RANCH,194.13
4/14/2020,20,SOUTH CARTHAY,188.77
4/14/2020,81,SILVERLAKE,183.74
4/14/2020,8,MARINA PENINSULA,183.49
4/14/2020,50,WEST ADAMS,180.96
4/14/2020,55,BRENTWOOD,177.68
4/14/2020,52,EAST HOLLYWOOD,177.55
4/14/2020,121,HOLLYWOOD,177.28
4/14/2020,23,HISTORIC FILIPINOTOWN,165.83
4/14/2020,25,COUNTRY CLUB PARK,164.98
4/14/2020,25,LEIMERT PARK,164.1
4/14/2020,24,MID-CITY,159.68
4/14/2020,21,BEVERLYWOOD,159.42
4/14/2020,7,SHADOW HILLS,157.59
4/14/2020,69,PALMS,157.26
4/14/2020,32,SUNLAND,156.8
4/14/2020,46,HOLLYWOOD HILLS,156.28
4/14/2020,38,VALLEY VILLAGE,153.72
4/14/2020,7,LAFAYETTE SQUARE,153.54
4/14/2020,32,PACIFIC PALISADES,150.3
4/14/2020,79,WEST VERNON,147.27
4/14/2020,45,TARZANA,145.74
4/14/2020,20,CRENSHAW DISTRICT,144.62
4/14/2020,57,TEMPLE-BEAUDRY,144.37
4/14/2020,58,PICO-UNION,138.62
4/14/2020,114,SYLMAR,138.35
4/14/2020,5,VIEW HEIGHTS,135.35
4/14/2020,12,CHEVIOT HILLS,130.85
4/14/2020,85,CANOGA PARK,130.19
4/14/2020,17,LAKEVIEW TERRACE,129.44
4/14/2020,76,WESTLAKE,128.04
4/14/2020,36,LITTLE BANGLADESH,127.02
4/14/2020,8,RANCHO PARK,121.95
4/14/2020,36,DEL REY,120.26
4/14/2020,5,REYNIER VILLAGE,118.26
4/14/2020,53,ENCINO,117.33
4/14/2020,44,SOUTH PARK,115.91
4/14/2020,52,EXPOSITION PARK,115.77
4/14/2020,34,VALLEY GLEN,113.27
4/14/2020,44,CENTRAL,112.84
4/14/2020,20,MIRACLE MILE,111.2
4/14/2020,44,EAGLE ROCK,111.14
4/14/2020,20,HARVARD HEIGHTS,110.9
4/14/2020,34,BALDWIN HILLS,109.24
4/14/2020,51,FLORENCE-FIRESTONE,107.49
4/14/2020,82,RESEDA,107.03
4/14/2020,55,KOREATOWN,106.4
